SO,Fase,Variable_o_Escenario,Valor_o_Latencia,Jitter_ms,Perdida_pct,TLS,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
macOS,Parametro,Latencia,100,0,0,tls12,9,0.113182,0.418397,305.215,1.00037,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,10,0.113883,0.43648,322.597,1.206861,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,11,0.117734,0.453734,336.0,0.976187,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,12,0.111059,0.462103,351.044,1.049056,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,13,0.115927,0.435818,319.891,1.005324,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,14,0.120956,0.4558,334.844,1.045364,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,15,0.115095,0.417148,302.053,1.052704,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,16,0.186292,0.52476,338.468,1.091437,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,17,0.113667,0.443078,329.411,1.155332,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,18,0.153426,0.47842,324.994,1.039621,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,19,0.124972,0.457927,332.955,1.000769,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,20,0.112386,0.460739,348.353,0.981238,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,21,0.115414,0.486243,370.829,1.015949,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,22,0.115914,0.379249,263.335,0.800104,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,23,0.1476,0.421918,274.318,0.844115,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,24,0.111724,0.365824,254.1,0.797525,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,25,0.11126,0.367943,256.683,0.798911,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,26,0.111042,0.36972,258.678,0.809875,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,27,0.110939,0.369914,258.975,0.790353,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,28,0.111837,0.367061,255.224,0.830636,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,29,0.113686,0.375355,261.669,0.808691,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,30,0.113094,0.372586,259.492,0.802542,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,31,0.120616,0.538111,417.495,0.99859,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,32,0.115379,0.385015,269.636,0.81467,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,33,0.111566,0.366935,255.369,0.80134,200,OK
